Disease,CommonTestAndProcedure
Sensorineural hearing loss,Psychological and psychiatric evaluation and therapy
Sensorineural hearing loss,Tracheoscopy and laryngoscopy with biopsy
Sensorineural hearing loss,Diagnostic procedures on nose; mouth and pharynx
Sensorineural hearing loss,Other OR therapeutic procedures on nose; mouth and pharynx
Chronic ulcer,sWound care management
Chronic ulcer,Complete physical skin exam performed (ML)
Chronic ulcer,Debridement of wound; infection or burn
Chronic ulcer,Examination of foot
Chronic ulcer,Traction; splints; and other wound care
Chronic ulcer,Excision (Removal)
Chronic ulcer,Referral to home health care service
Chronic ulcer,Application of splint (Splinting)
Osteoporosis,sHematologic tests (Blood test)
Osteoporosis,Lipid panel
Osteoporosis,Complete physical skin exam performed (ML)
Osteoporosis,Bone density scan
Osteoporosis,Examination of breast
Osteoporosis,Mammography (Mammogram)
Osteoporosis,Pelvis exam
Osteoporosis,Hemoglobin A1c measurement (Hemoglobin a1c test)
Ileus,sRadiographic imaging procedure
Ileus,Hematologic tests (Blood test)
Ileus,Complete blood count (Cbc)
Ileus,Intravenous fluid replacement
Ileus,Plain x-ray (X ray)
Ileus,Kidney function tests (Kidney function test)
Ileus,Urinalysis
Ileus,Electrolytes panel
Sickle cell crisis,sHematologic tests (Blood test)
Sickle cell crisis,Complete blood count (Cbc)
Sickle cell crisis,Intravenous fluid replacement
Sickle cell crisis,Radiographic imaging procedure
Sickle cell crisis,Plain x-ray (X ray)
Sickle cell crisis,Kidney function tests (Kidney function test)
Sickle cell crisis,Electrolytes panel
Sickle cell crisis,Glucose measurement (Glucose level)
Urethritis,sUrinalysis
Urethritis,Chlamydia test
Urethritis,Microscopic examination (bacterial smear; culture; toxicology)
Urethritis,Blood culture
Urethritis,Endoscopy and endoscopic biopsy of the urinary tract
Urethritis,HIV screen (Hiv test)
Urethritis,Indwelling catheter
Urethritis,Physical therapy exercises; manipulation; and other procedures
Prostatitis,sUrinalysis
Prostatitis,Hematologic tests (Blood test)
Prostatitis,Prostate specific antigen measurement (Prostate specific antigen test)
Prostatitis,Rectal examination
Prostatitis,Ultrasonography (Ultrasound)
Prostatitis,Other diagnostic procedures (interview; evaluation; consultation)
Prostatitis,Insertion of catheter into urinary bladder
Prostatitis,Endoscopy and endoscopic biopsy of the urinary tract
Otitis externa (swimmer's ear),sOther diagnostic procedures (interview; evaluation; consultation)
Otitis externa (swimmer's ear),Other therapeutic ear procedures
Otitis externa (swimmer's ear),Ophthalmologic and otologic diagnosis and treatment
Otitis externa (swimmer's ear),Culture wound
Otitis externa (swimmer's ear),Incision and drainage (I d)
Otitis externa (swimmer's ear),Nonoperative removal of foreign body
Otitis externa (swimmer's ear),Diagnostic procedures on ear
Otitis externa (swimmer's ear),Diagnostic endocrine procedures
Poisoning due to anticonvulsants,sHematologic tests (Blood test)
Poisoning due to anticonvulsants,Complete blood count (Cbc)
Poisoning due to anticonvulsants,Kidney function tests (Kidney function test)
Poisoning due to anticonvulsants,Intravenous fluid replacement
Poisoning due to anticonvulsants,Glucose measurement (Glucose level)
Poisoning due to anticonvulsants,Urinalysis
Poisoning due to anticonvulsants,Electrolytes panel
Poisoning due to anticonvulsants,Electrocardiogram
Testicular torsion,sIntravenous fluid replacement
Testicular torsion,Urinalysis
Testicular torsion,Corneal transplant
Testicular torsion,Procedures on spleen (Spleen operation)
Testicular torsion,Removal of ectopic pregnancy
Testicular torsion,Tracheostomy; temporary and permanent
Testicular torsion,Diagnostic endocrine procedures
Testicular torsion,CT scan chest (Ct chest)
Tricuspid valve disease,sRadiographic imaging procedure
Tricuspid valve disease,Echocardiography
Tricuspid valve disease,Ultrasonography (Ultrasound)
Tricuspid valve disease,Lipid panel
Tricuspid valve disease,Cardiac stress tests
Tricuspid valve disease,Hemoglobin A1c measurement (Hemoglobin a1c test)
Tricuspid valve disease,Other diagnostic procedures (interview; evaluation; consultation)
Tricuspid valve disease,Corneal transplant
Urethral stricture,sUrinalysis
Urethral stricture,Procedures on the urethra
Urethral stricture,Ultrasonography (Ultrasound)
Urethral stricture,Endoscopy and endoscopic biopsy of the urinary tract
Urethral stricture,Prostate specific antigen measurement (Prostate specific antigen test)
Urethral stricture,Rectal examination
Urethral stricture,Other diagnostic procedures (interview; evaluation; consultation)
Urethral stricture,Insertion of catheter into urinary bladder
Vitamin D deficiency,sHematologic tests (Blood test)
Vitamin D deficiency,Glucose measurement (Glucose level)
Vitamin D deficiency,Lipid panel
Vitamin D deficiency,Complete physical skin exam performed (ML)
Vitamin D deficiency,Hemoglobin A1c measurement (Hemoglobin a1c test)
Vitamin D deficiency,Depression screen (Depression screening)
Vitamin D deficiency,Bone density scan
Vitamin D deficiency,Physical therapy exercises (Exercises)
Hydatidiform mole,sHematologic tests (Blood test)
Hydatidiform mole,Complete blood count (Cbc)
Hydatidiform mole,Radiographic imaging procedure
Hydatidiform mole,Standard pregnancy test
Hydatidiform mole,Urinalysis
Hydatidiform mole,Pelvis exam
Hydatidiform mole,Glucose measurement (Glucose level)
Hydatidiform mole,Kidney function tests (Kidney function test)
Pain disorder affecting the neck,sPhysical therapy exercises (Exercises)
Pain disorder affecting the neck,Magnetic resonance imaging (Mri)
Pain disorder affecting the neck,X-ray computed tomography (Scan ct)
Pain disorder affecting the neck,Other diagnostic procedures (interview; evaluation; consultation)
Pain disorder affecting the neck,Insertion of catheter or spinal stimulator and injection into spinal canal
Pain disorder affecting the neck,Other therapeutic procedures
Pain disorder affecting the neck,CAT scan of head (Head ct)
Pain disorder affecting the neck,Other non-OR or closed therapeutic nervous system procedures
Tuberculosis,sRadiographic imaging procedure
Tuberculosis,Plain x-ray (X ray)
Tuberculosis,Complete physical skin exam performed (ML)
Tuberculosis,Other diagnostic procedures on skin and subcutaneous tissue
Tuberculosis,Lipid panel
Tuberculosis,Other diagnostic procedures (interview; evaluation; consultation)
Tuberculosis,Thyroidectomy; partial or complete
Tuberculosis,Diagnostic bronchoscopy and biopsy of bronchus
Pelvic fistula,sPelvis exam
Pelvic fistula,Electrocardiogram
Pelvic fistula,Other OR therapeutic procedures of urinary tract
Pelvic fistula,Other diagnostic radiology and related techniques
Pelvic fistula,Endoscopy and endoscopic biopsy of the urinary tract
Pelvic fistula,Other therapeutic procedures
Pelvic fistula,Rectal examination
Pelvic fistula,Examination of breast
Acute bronchiolitis,sRadiographic imaging procedure
Acute bronchiolitis,Plain x-ray (X ray)
Acute bronchiolitis,Nebulizer therapy
Acute bronchiolitis,Influenzavirus antibody assay
Acute bronchiolitis,Blood culture
Acute bronchiolitis,Other respiratory therapy
Acute bronchiolitis,Other OR therapeutic nervous system procedures
Acute bronchiolitis,Routine chest X-ray
Presbyopia,sOphthalmologic and otologic diagnosis and treatment
Presbyopia,Ophthalmic examination and evaluation (Eye exam)
Presbyopia,Other therapeutic procedures on eyelids; conjunctiva; cornea
Presbyopia,Lens and cataract procedures
Presbyopia,Referral to home health care service
Dementia,sElectrocardiogram
Dementia,X-ray computed tomography (Scan ct)
Dementia,Mental health counseling
Dementia,Lipid panel
Dementia,Physical therapy exercises (Exercises)
Dementia,Occupational therapy assessment (Speech therapy)
Dementia,CAT scan of head (Head ct)
Dementia,Magnetic resonance imaging (Mri)
Insect bite,sComplete physical skin exam performed (ML)
Insect bite,Wound care management
Insect bite,Culture wound
Insect bite,Incision and drainage (I d)
Insect bite,Nonoperative removal of foreign body
Insect bite,Other hernia repair
Paroxysmal ventricular tachycardia,sElectrocardiogram
Paroxysmal ventricular tachycardia,Intravenous fluid replacement
Paroxysmal ventricular tachycardia,Electrolytes panel
Paroxysmal ventricular tachycardia,Other diagnostic procedures (interview; evaluation; consultation)
Paroxysmal ventricular tachycardia,Cardiac enzymes measurement (Cardiac enzymes test)
Paroxysmal ventricular tachycardia,Kidney function tests (Kidney function test)
Paroxysmal ventricular tachycardia,Cardiac monitoring (Cardiac monitor)
Paroxysmal ventricular tachycardia,Echocardiography
Congenital heart defect,sRadiographic imaging procedure
Congenital heart defect,Electrocardiogram
Congenital heart defect,Ultrasonography (Ultrasound)
Congenital heart defect,Echocardiography
Congenital heart defect,Other diagnostic procedures (interview; evaluation; consultation)
Congenital heart defect,Cardiac stress tests
Congenital heart defect,Other therapeutic procedures
Congenital heart defect,Diagnostic cardiac catheterization; coronary arteriography
Connective tissue disorder,sHematologic tests (Blood test)
Connective tissue disorder,Complete blood count (Cbc)
Connective tissue disorder,Complete physical skin exam performed (ML)
Connective tissue disorder,Lipid panel
Connective tissue disorder,Examination of foot
Connective tissue disorder,Physical therapy exercises (Exercises)
Connective tissue disorder,Referral to home health care service
Connective tissue disorder,Ophthalmic examination and evaluation (Eye exam)
Foreign body in the eye,sNonoperative removal of foreign body
Foreign body in the eye,Wound care management
Foreign body in the eye,Other therapeutic procedures on eyelids; conjunctiva; cornea
Foreign body in the eye,Other intraocular therapeutic procedures
Foreign body in the eye,Diagnostic procedures on eye
Poisoning due to gas,sPlain x-ray (X ray)
Poisoning due to gas,Electrocardiogram
Poisoning due to gas,Intravenous fluid replacement
Poisoning due to gas,Nebulizer therapy
Poisoning due to gas,Kidney function tests (Kidney function test)
Poisoning due to gas,Cardiac enzymes measurement (Cardiac enzymes test)
Poisoning due to gas,Arterial blood gases (ABGs)
Poisoning due to gas,Cardiac monitoring (Cardiac monitor)
Pyogenic skin infection,sWound care management
Pyogenic skin infection,Intravenous fluid replacement
Pyogenic skin infection,Complete physical skin exam performed (ML)
Pyogenic skin infection,Incision and drainage (I d)
Pyogenic skin infection,Culture wound
Pyogenic skin infection,Blood culture
Pyogenic skin infection,Examination of foot
Pyogenic skin infection,Microscopic examination (bacterial smear; culture; toxicology)
Endometrial hyperplasia,sPelvis exam
Endometrial hyperplasia,Biopsy
Endometrial hyperplasia,Complete physical skin exam performed (ML)
Endometrial hyperplasia,Excision (Removal)
Endometrial hyperplasia,Ultrasonography (Ultrasound)
Endometrial hyperplasia,Examination of breast
Endometrial hyperplasia,Other diagnostic procedures; female organs
Endometrial hyperplasia,Rectal examination
Acanthosis nigricans,sComplete physical skin exam performed (ML)
Acanthosis nigricans,Hematologic tests (Blood test)
Acanthosis nigricans,Lipid panel
Acanthosis nigricans,Hemoglobin A1c measurement (Hemoglobin a1c test)
Acanthosis nigricans,Glucose measurement (Glucose level)
Acanthosis nigricans,Depression screen (Depression screening)
Acanthosis nigricans,Examination of breast
Acanthosis nigricans,Physical therapy exercises (Exercises)
Central atherosclerosis,sRadiographic imaging procedure
Central atherosclerosis,Ultrasonography (Ultrasound)
Central atherosclerosis,Electrocardiogram
Central atherosclerosis,Lipid panel
Central atherosclerosis,Echocardiography
Central atherosclerosis,Arterio- or venogram (not heart and head)
Central atherosclerosis,Other diagnostic procedures (interview; evaluation; consultation)
Central atherosclerosis,Other diagnostic ultrasound
Viral exanthem,sComplete physical skin exam performed (ML)
Viral exanthem,Other diagnostic procedures (interview; evaluation; consultation)
Viral exanthem,Influenzavirus antibody assay
Blastomycosis,sCorneal transplant
Blastomycosis,Transurethral resection of prostate (TURP) (Turp)
Blastomycosis,Coronary thrombolysis
Blastomycosis,Control of epistaxis
Blastomycosis,CT scan abdomen (Ct of abdomen)
Blastomycosis,Procedures on spleen (Spleen operation)
Blastomycosis,Bone marrow transplant (Bmt)
Blastomycosis,Removal of ectopic pregnancy
Noninfectious gastroenteritis,sHematologic tests (Blood test)
Noninfectious gastroenteritis,Complete blood count (Cbc)
Noninfectious gastroenteritis,Intravenous fluid replacement
Noninfectious gastroenteritis,Urinalysis
Noninfectious gastroenteritis,Kidney function tests (Kidney function test)
Noninfectious gastroenteritis,Glucose measurement (Glucose level)
Noninfectious gastroenteritis,Electrolytes panel
Noninfectious gastroenteritis,Liver function tests (Liver test)
